Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Marital_Status,Num_of_Children,Employment_Status,Credit_Score,Online_Shopping_Frequency,Target
CUST_77,48,Male,78454,28,West,Married,0,Unemployed,719,5,1
CUST_78,31,Male,59444,34,South,Single,0,Student,473,9,1
CUST_79,67,Male,147436,87,South,Married,0,Student,458,13,0
CUST_80,25,Female,146092,51,South,Widowed,3,Retired,730,10,0
CUST_81,28,Female,55292,4,North,Single,3,Retired,791,6,0
CUST_82,39,Male,41921,93,South,Single,4,Retired,548,0,0
CUST_83,54,Male,68389,65,North,Divorced,0,Student,740,2,1
CUST_84,68,Female,116500,92,South,Married,3,Unemployed,797,14,0
CUST_85,25,Male,135949,16,North,Divorced,2,Retired,511,11,0
CUST_86,27,Female,88459,23,East,Widowed,0,Unemployed,420,9,1
CUST_87,64,Female,45791,29,South,Widowed,4,Unemployed,384,9,0
CUST_88,20,Male,132046,43,North,Widowed,4,Employed,396,5,0
CUST_89,47,Male,118735,81,West,Single,4,Student,570,12,0
CUST_90,38,Female,100336,58,North,Divorced,4,Employed,568,15,0
CUST_91,46,Male,110797,87,West,Divorced,0,Retired,312,18,1
CUST_92,66,Male,118659,74,West,Widowed,1,Employed,693,18,1
CUST_93,67,Male,132688,98,North,Single,4,Unemployed,389,12,0
CUST_94,68,Male,137620,81,East,Widowed,3,Retired,355,12,1
CUST_95,54,Male,96703,97,East,Divorced,2,Unemployed,656,12,0
CUST_96,48,Female,139885,42,West,Single,3,Unemployed,342,15,0
CUST_97,35,Male,132911,23,East,Married,0,Student,303,16,0
CUST_98,18,Female,45045,44,North,Single,2,Employed,760,17,1
CUST_99,34,Female,138509,5,South,Single,4,Retired,669,14,0
CUST_100,65,Female,114505,25,West,Married,0,Student,657,10,0
CUST_101,55,Male,56759,19,South,Married,1,Unemployed,806,17,0
CUST_102,30,Male,29129,18,West,Widowed,2,Retired,781,12,0
CUST_103,23,Female,121898,9,East,Single,4,Retired,758,17,0
CUST_104,41,Female,118136,60,West,Widowed,3,Unemployed,547,14,0
CUST_105,43,Male,57743,47,West,Divorced,4,Unemployed,847,7,0
CUST_106,20,Male,142624,9,East,Married,0,Unemployed,799,3,0
CUST_107,51,Male,130409,13,East,Divorced,0,Student,799,1,1
CUST_108,60,Female,72538,39,North,Divorced,0,Employed,482,3,1
CUST_109,38,Female,41602,74,West,Single,4,Retired,313,16,1
CUST_110,33,Male,86523,85,South,Single,2,Unemployed,693,16,0
CUST_111,52,Female,83070,40,North,Widowed,4,Unemployed,575,0,0
CUST_112,60,Male,27654,8,North,Married,1,Student,370,19,0
CUST_113,31,Male,25870,43,East,Widowed,4,Employed,683,0,0
CUST_114,18,Male,125824,29,North,Married,2,Unemployed,490,9,0
CUST_115,30,Female,64816,7,West,Married,0,Retired,558,13,0
CUST_116,49,Female,127472,93,East,Divorced,4,Unemployed,799,14,0
CUST_117,42,Female,147804,40,East,Divorced,2,Student,531,0,0
CUST_118,68,Male,40934,72,East,Divorced,2,Retired,640,12,0
CUST_119,27,Male,98461,50,South,Divorced,4,Employed,660,16,1
CUST_120,33,Male,69348,31,West,Widowed,1,Student,810,5,0
CUST_121,59,Female,140629,25,North,Married,1,Retired,732,13,1
CUST_122,38,Male,72082,70,North,Divorced,3,Employed,373,18,0
CUST_123,18,Female,132785,27,North,Single,0,Employed,741,0,0
CUST_124,47,Male,74350,86,West,Divorced,0,Employed,694,14,0
CUST_125,37,Female,106410,19,East,Single,1,Retired,550,12,0
CUST_126,45,Male,62243,52,North,Divorced,1,Student,409,8,0
CUST_127,56,Female,46404,80,North,Divorced,0,Employed,585,0,0
CUST_128,51,Female,112048,87,South,Single,1,Retired,531,8,0
CUST_129,26,Male,37485,84,South,Widowed,3,Retired,553,3,0
CUST_130,34,Female,138099,99,East,Widowed,1,Student,694,2,0
CUST_131,49,Female,35141,17,South,Single,0,Retired,742,8,1
CUST_132,41,Female,135636,58,West,Single,4,Student,450,12,0
CUST_133,51,Male,123483,56,West,Single,2,Retired,339,15,0
CUST_134,48,Female,148568,33,West,Married,2,Retired,626,5,1
CUST_135,67,Female,38381,98,West,Widowed,3,Employed,788,4,0
CUST_136,24,Male,122993,99,West,Single,0,Unemployed,747,19,0
CUST_137,31,Female,122175,11,North,Married,0,Employed,588,9,1
CUST_138,55,Male,20628,92,West,Widowed,4,Retired,449,2,0
CUST_139,28,Male,61856,69,North,Divorced,2,Employed,830,17,0
CUST_140,46,Female,138335,89,South,Married,2,Retired,314,7,0
CUST_141,41,Male,116481,68,South,Single,2,Retired,399,14,0
CUST_142,21,Female,129183,60,East,Married,4,Retired,800,8,0
CUST_143,53,Female,40091,64,West,Divorced,3,Retired,717,16,1
CUST_144,67,Male,108081,89,West,Single,4,Retired,402,18,0
CUST_145,23,Male,129188,33,South,Widowed,4,Employed,666,14,0
CUST_146,68,Male,39825,49,North,Married,4,Retired,726,0,1
CUST_147,33,Male,148802,83,East,Divorced,3,Employed,399,0,0
CUST_148,62,Female,60861,53,South,Married,3,Retired,742,5,0
CUST_149,53,Male,142213,56,West,Married,3,Retired,705,17,0
CUST_150,44,Male,34670,74,East,Married,2,Retired,616,18,0
CUST_151,48,Female,135929,8,North,Widowed,1,Employed,426,1,0
CUST_152,66,Female,30258,95,South,Divorced,1,Retired,849,4,0
CUST_153,43,Male,34679,78,North,Married,1,Student,748,11,0
CUST_154,64,Female,82350,67,South,Divorced,2,Student,423,11,1
CUST_155,37,Female,126863,25,South,Widowed,2,Unemployed,586,8,0
CUST_156,51,Male,99904,59,South,Single,4,Retired,368,1,0
CUST_157,18,Male,20593,35,South,Single,0,Employed,815,0,0
CUST_158,37,Female,101198,57,West,Married,4,Student,367,8,0
CUST_159,20,Female,34422,96,North,Married,3,Employed,764,9,0
CUST_160,39,Female,119210,99,South,Widowed,0,Unemployed,713,14,0
CUST_161,59,Female,34592,88,West,Married,3,Employed,335,5,0
CUST_162,37,Male,76902,10,South,Single,3,Student,749,16,0
CUST_163,57,Male,79346,94,West,Widowed,0,Employed,687,10,0
CUST_164,50,Female,133438,94,West,Married,1,Student,500,4,0
CUST_165,44,Male,61772,17,South,Single,4,Employed,418,14,0
CUST_166,55,Female,45304,71,East,Widowed,0,Employed,676,14,0
CUST_167,20,Male,113933,52,South,Married,0,Retired,663,14,0
CUST_168,20,Male,74107,43,South,Single,2,Student,401,9,1
CUST_169,32,Female,57348,56,East,Widowed,0,Retired,431,14,1
CUST_170,45,Male,26581,34,East,Widowed,4,Student,732,18,0
CUST_171,60,Female,113074,70,West,Divorced,0,Employed,708,5,0
CUST_172,60,Male,51317,95,South,Widowed,0,Employed,509,9,0
CUST_173,29,Male,84015,31,North,Single,2,Retired,573,16,0
CUST_174,27,Male,89311,30,North,Married,3,Student,649,3,1
CUST_175,63,Male,132150,28,East,Divorced,4,Retired,300,6,1
CUST_176,54,Female,137574,88,South,Single,4,Retired,781,7,1
CUST_177,68,Male,98596,2,South,Single,2,Employed,771,12,1
CUST_178,35,Female,108306,92,West,Single,3,Student,704,4,0
CUST_179,61,Female,75415,28,West,Single,3,Employed,425,3,0
CUST_180,69,Male,101726,9,North,Widowed,3,Student,782,1,0
CUST_181,66,Male,110264,47,North,Divorced,2,Unemployed,314,8,0
CUST_182,66,Female,102328,28,North,Widowed,3,Student,342,5,0
CUST_183,27,Male,144870,31,West,Single,4,Student,483,0,0
CUST_184,61,Male,143324,33,West,Widowed,3,Student,443,5,1
CUST_185,59,Female,121809,23,North,Widowed,4,Student,800,5,1
CUST_186,59,Male,20076,82,West,Married,1,Retired,435,17,1
CUST_187,33,Male,144020,31,South,Married,1,Employed,701,1,0
CUST_188,34,Male,86038,7,East,Single,2,Student,682,18,0
CUST_189,26,Male,120908,47,North,Widowed,4,Student,720,1,0
CUST_190,57,Male,117432,66,South,Divorced,3,Employed,394,5,1
CUST_191,23,Male,77139,1,South,Single,2,Retired,675,15,0
CUST_192,63,Female,40845,20,North,Single,0,Student,612,0,0
CUST_193,56,Female,108227,17,North,Single,4,Unemployed,531,13,0
CUST_194,54,Female,21819,91,North,Widowed,0,Unemployed,464,19,0
CUST_195,21,Female,68979,92,South,Single,2,Unemployed,577,9,0
CUST_196,39,Male,27019,43,West,Single,4,Student,588,5,0
CUST_197,60,Male,110119,54,East,Married,1,Student,638,13,0
CUST_198,52,Male,135732,32,East,Divorced,1,Unemployed,354,15,0
CUST_199,35,Male,88455,95,North,Divorced,0,Employed,476,18,0
CUST_200,47,Female,48320,70,South,Married,0,Employed,633,15,0
CUST_201,53,Male,98436,63,West,Single,1,Student,535,17,0
CUST_202,23,Male,134557,88,West,Married,2,Student,552,10,0
CUST_203,28,Male,111795,41,North,Married,2,Unemployed,761,2,0
CUST_204,62,Female,20993,17,East,Single,4,Student,764,14,0
CUST_205,42,Male,54387,20,East,Married,4,Employed,750,17,1
CUST_206,29,Male,100169,70,South,Divorced,1,Student,447,15,0
CUST_207,60,Female,74841,29,West,Widowed,1,Retired,664,3,1
CUST_208,34,Female,109902,64,South,Married,2,Employed,376,16,0
CUST_209,23,Female,109560,58,East,Divorced,4,Student,493,4,0
CUST_210,46,Male,102003,20,East,Single,2,Student,559,7,0
CUST_211,38,Female,71170,31,South,Married,1,Employed,470,5,1
CUST_212,21,Male,28891,81,West,Married,4,Student,740,16,1
CUST_213,53,Female,89521,41,North,Single,3,Unemployed,642,4,1
CUST_214,64,Female,139954,65,North,Divorced,0,Employed,652,1,0
CUST_215,68,Male,38188,95,West,Widowed,2,Student,750,14,0
CUST_216,68,Female,87413,48,South,Widowed,4,Unemployed,537,14,1
CUST_217,29,Male,102351,81,East,Married,1,Retired,463,19,0
CUST_218,39,Male,73729,23,South,Single,0,Employed,433,9,1
CUST_219,40,Male,101372,46,South,Divorced,2,Retired,442,4,1
CUST_220,41,Male,142589,66,West,Widowed,0,Retired,474,17,0
CUST_221,64,Female,21292,17,East,Married,2,Unemployed,495,15,0
CUST_222,22,Male,121895,53,West,Married,0,Retired,783,15,0
CUST_223,35,Female,117453,79,North,Widowed,0,Student,427,9,1
CUST_224,54,Male,59476,80,South,Widowed,4,Employed,343,19,0
CUST_225,23,Female,42500,14,West,Married,0,Unemployed,346,1,0
CUST_226,35,Female,114429,61,West,Single,3,Employed,406,19,0
CUST_227,28,Female,127283,82,South,Divorced,0,Unemployed,846,0,0
CUST_228,33,Male,79803,78,East,Divorced,1,Retired,591,11,0
CUST_229,33,Female,110965,90,East,Married,3,Student,631,19,1
CUST_230,53,Male,23333,99,West,Widowed,0,Employed,668,16,1
CUST_231,48,Female,67765,63,South,Single,2,Employed,659,5,0
CUST_232,44,Male,146437,27,West,Widowed,0,Unemployed,322,6,0
CUST_233,33,Male,111118,61,South,Single,2,Employed,525,5,0
CUST_234,35,Female,20143,71,North,Married,3,Employed,766,12,0
CUST_235,66,Male,76037,3,East,Widowed,4,Employed,633,5,1
CUST_236,64,Male,36073,30,North,Married,4,Unemployed,505,4,1
CUST_237,52,Female,111626,34,West,Married,2,Student,810,6,0
CUST_238,57,Female,91787,21,North,Divorced,4,Unemployed,307,4,0
CUST_239,18,Female,140734,16,North,Widowed,1,Unemployed,587,12,0
CUST_240,42,Male,115200,36,West,Single,3,Employed,768,2,1
CUST_241,21,Female,21864,32,North,Divorced,4,Employed,753,14,1
CUST_242,42,Male,127387,68,South,Single,0,Student,486,16,1
CUST_243,59,Male,105048,50,West,Divorced,2,Unemployed,682,7,0
CUST_244,38,Female,149403,82,West,Widowed,2,Retired,499,7,1
CUST_245,45,Female,114751,52,East,Divorced,2,Student,421,4,0
CUST_246,54,Male,94043,64,West,Married,2,Retired,645,6,0
CUST_247,38,Male,73390,31,West,Widowed,3,Employed,435,16,0
CUST_248,43,Female,29158,55,South,Divorced,0,Student,479,1,0
CUST_249,50,Female,108259,79,North,Single,2,Employed,765,1,1
CUST_250,69,Female,130984,40,South,Married,3,Retired,801,4,0
CUST_251,46,Male,108288,2,West,Widowed,4,Employed,447,12,0
CUST_252,23,Male,136191,12,North,Widowed,3,Retired,335,11,0
CUST_253,23,Male,70984,96,West,Widowed,3,Student,438,9,1
CUST_254,22,Male,82225,54,West,Divorced,1,Employed,772,6,0
CUST_255,50,Male,132215,47,North,Widowed,2,Unemployed,460,16,1
CUST_256,24,Male,139973,92,North,Widowed,1,Retired,453,0,0
CUST_257,42,Male,68305,32,West,Divorced,1,Retired,413,7,0
CUST_258,25,Male,88636,31,East,Widowed,4,Unemployed,322,10,0
CUST_259,22,Female,84927,21,West,Divorced,3,Retired,656,0,0
CUST_260,35,Female,79493,98,South,Single,4,Retired,468,9,0
CUST_261,67,Female,114042,60,South,Married,2,Retired,374,7,0
CUST_262,28,Male,93053,5,South,Married,2,Student,546,1,0
CUST_263,29,Male,129036,3,East,Widowed,2,Unemployed,465,12,0
CUST_264,19,Male,142969,32,North,Widowed,1,Unemployed,651,1,0
CUST_265,24,Male,88163,54,North,Widowed,1,Student,337,19,1
CUST_266,28,Male,103199,64,East,Single,3,Unemployed,783,19,0
CUST_267,50,Male,127486,40,North,Widowed,2,Retired,462,9,0
CUST_268,19,Male,139884,4,North,Widowed,0,Student,844,5,0
CUST_269,35,Male,87065,25,West,Single,1,Unemployed,578,19,1
CUST_270,62,Male,82724,64,West,Widowed,2,Employed,408,19,0
CUST_271,52,Female,137851,73,South,Widowed,3,Unemployed,531,14,0
CUST_272,26,Male,62989,2,West,Married,4,Employed,427,0,0
CUST_273,27,Male,129783,30,North,Widowed,1,Retired,726,5,0
CUST_274,63,Male,141964,89,West,Widowed,3,Student,415,12,1
CUST_275,30,Male,95427,39,East,Single,2,Employed,479,11,0
CUST_276,37,Male,110185,41,North,Widowed,0,Unemployed,692,0,0
CUST_277,34,Male,129884,12,East,Married,0,Student,829,4,1
CUST_278,35,Female,141971,69,East,Single,1,Retired,312,9,0
CUST_279,43,Male,132792,57,North,Married,1,Student,821,4,0
CUST_280,28,Female,74899,23,West,Married,0,Unemployed,750,0,0
CUST_281,31,Female,115517,33,East,Divorced,2,Employed,375,3,1
CUST_282,62,Male,41111,74,South,Married,3,Unemployed,586,14,1
CUST_283,41,Female,31667,29,North,Married,1,Retired,582,5,0
CUST_284,23,Male,32046,12,East,Widowed,4,Unemployed,814,9,0
CUST_285,56,Female,37358,59,South,Single,0,Student,845,10,0
CUST_286,51,Male,83258,65,West,Widowed,4,Employed,548,18,1
CUST_287,45,Male,70658,2,North,Single,0,Retired,358,16,1
CUST_288,22,Male,92390,27,East,Widowed,1,Student,814,4,0
CUST_289,35,Male,28312,90,West,Single,4,Employed,486,13,1
CUST_290,20,Male,58157,80,East,Single,4,Student,586,6,0
CUST_291,53,Male,33876,18,East,Single,0,Unemployed,793,13,0
CUST_292,68,Male,133160,86,West,Divorced,0,Employed,559,19,1
CUST_293,29,Female,142380,10,South,Widowed,3,Employed,656,7,0
CUST_294,21,Male,85147,71,East,Married,2,Employed,319,1,0
CUST_295,38,Male,133502,78,West,Divorced,0,Unemployed,351,0,0
CUST_296,64,Female,59719,57,West,Divorced,3,Student,544,10,0
CUST_297,52,Female,39935,89,South,Widowed,4,Employed,346,17,1
CUST_298,44,Female,39223,50,East,Widowed,3,Retired,824,4,0
CUST_299,33,Female,26960,84,South,Single,1,Retired,358,17,1
CUST_300,57,Female,120439,5,East,Divorced,1,Retired,706,14,0
CUST_301,31,Male,53127,92,South,Married,0,Student,380,4,0
CUST_302,50,Male,49843,9,East,Married,3,Employed,684,8,0
CUST_303,40,Female,85585,20,West,Single,2,Employed,673,3,1
CUST_304,28,Female,145309,20,North,Widowed,4,Retired,381,15,0
CUST_305,25,Female,77546,43,East,Single,1,Unemployed,524,16,1
CUST_306,18,Male,40955,81,North,Widowed,3,Employed,811,19,1
CUST_307,32,Male,44926,68,West,Divorced,4,Student,366,4,0
CUST_308,37,Male,137117,46,West,Widowed,0,Employed,734,5,1
CUST_309,19,Male,107985,8,East,Widowed,0,Unemployed,445,5,0
CUST_310,18,Female,89479,61,East,Widowed,0,Retired,349,15,1
CUST_311,48,Female,75410,18,East,Single,1,Employed,601,6,1
CUST_312,47,Male,112494,89,East,Single,1,Employed,532,2,0
CUST_313,20,Female,119590,72,East,Single,2,Employed,733,19,1
CUST_314,48,Female,147955,10,East,Single,2,Unemployed,348,5,1
CUST_315,28,Male,61067,79,West,Divorced,4,Retired,808,8,1
CUST_316,38,Male,90589,48,West,Single,3,Employed,375,14,0
CUST_317,22,Female,149316,96,East,Widowed,4,Employed,758,10,0
CUST_318,30,Female,56555,99,West,Single,4,Student,552,18,1
CUST_319,28,Male,93903,76,West,Single,1,Retired,730,1,1
CUST_320,33,Male,65787,58,North,Widowed,3,Unemployed,832,12,0
CUST_321,60,Male,141506,25,East,Single,1,Student,458,10,0
CUST_322,42,Male,46170,48,East,Divorced,3,Retired,731,14,0
CUST_323,43,Female,124884,31,East,Single,2,Unemployed,454,9,0
CUST_324,18,Female,100717,37,West,Married,2,Retired,751,15,0
CUST_325,22,Female,98065,18,South,Widowed,1,Employed,600,14,1
CUST_326,39,Female,103098,34,South,Married,3,Student,321,16,1
CUST_327,58,Male,23706,87,West,Married,1,Retired,799,2,0
CUST_328,54,Female,132661,63,East,Divorced,0,Retired,789,5,1
CUST_329,19,Female,57616,95,North,Divorced,3,Unemployed,740,2,0
CUST_330,61,Male,120781,87,West,Divorced,4,Retired,560,10,0
CUST_331,53,Male,101439,80,North,Widowed,1,Retired,836,8,0
CUST_332,31,Female,119068,36,South,Single,3,Employed,612,16,1
CUST_333,28,Male,65593,87,East,Married,4,Unemployed,389,14,0
CUST_334,31,Female,142478,1,East,Divorced,1,Retired,631,9,0
CUST_335,34,Female,144316,88,North,Divorced,4,Employed,314,18,1
CUST_336,68,Female,108464,61,West,Single,2,Employed,788,7,0
CUST_337,54,Male,32211,65,East,Widowed,0,Unemployed,346,17,0
CUST_338,25,Female,62592,85,East,Widowed,3,Employed,541,17,0
CUST_339,69,Female,103080,3,West,Widowed,0,Employed,372,8,1
CUST_340,29,Female,61998,93,East,Widowed,4,Retired,512,14,0
CUST_341,41,Male,40576,27,North,Widowed,4,Employed,611,3,1
CUST_342,46,Female,96043,2,North,Married,2,Unemployed,821,5,1
CUST_343,41,Male,39835,12,East,Married,1,Unemployed,496,10,0
CUST_344,62,Female,121356,16,East,Single,1,Employed,661,4,0
CUST_345,41,Female,63399,89,South,Married,0,Retired,346,0,0
CUST_346,22,Female,30557,48,South,Married,2,Employed,362,5,0
CUST_347,51,Female,60499,24,West,Divorced,2,Employed,418,17,0
CUST_348,51,Female,80896,1,West,Widowed,3,Employed,325,18,1
CUST_349,46,Female,113870,41,West,Widowed,2,Unemployed,727,5,0
CUST_350,41,Female,22298,89,East,Widowed,2,Employed,469,2,0
CUST_351,26,Male,116647,33,West,Single,2,Unemployed,618,11,0
CUST_352,19,Female,66060,49,West,Widowed,2,Employed,463,6,0
CUST_353,67,Male,98610,66,North,Divorced,4,Employed,383,19,0
CUST_354,55,Female,86744,8,West,Married,1,Unemployed,610,4,1
CUST_355,45,Female,111491,37,East,Divorced,4,Retired,460,15,0
CUST_356,43,Male,84030,71,North,Married,1,Employed,664,7,0
CUST_357,48,Female,107688,76,East,Married,1,Employed,692,7,1
CUST_358,37,Female,95271,85,East,Widowed,0,Unemployed,725,12,0
CUST_359,28,Male,120616,64,West,Single,2,Employed,734,1,1
CUST_360,68,Male,53168,83,South,Single,3,Unemployed,677,15,0
CUST_361,38,Female,31940,81,South,Widowed,3,Unemployed,639,10,0
CUST_362,25,Female,80447,26,South,Married,2,Retired,720,15,0
CUST_363,60,Male,110279,35,East,Single,0,Student,652,8,0
CUST_364,66,Male,96964,2,West,Divorced,2,Unemployed,802,10,0
CUST_365,69,Male,98499,10,East,Widowed,0,Unemployed,588,4,1
CUST_366,53,Male,143047,60,East,Married,2,Retired,445,17,0
CUST_367,42,Female,149521,80,West,Widowed,0,Unemployed,459,11,0
CUST_368,65,Female,144444,77,North,Divorced,2,Student,677,10,0
CUST_369,23,Female,87942,95,East,Divorced,1,Student,710,2,1
CUST_370,28,Male,26702,37,North,Divorced,1,Employed,445,12,0
CUST_371,32,Male,147763,25,West,Married,1,Unemployed,335,9,0
CUST_372,33,Female,67432,95,North,Widowed,4,Unemployed,698,4,1
CUST_373,30,Male,90627,97,North,Married,2,Employed,487,12,0
CUST_374,55,Male,38791,12,West,Married,1,Unemployed,508,4,0
CUST_375,33,Female,60923,86,North,Divorced,2,Retired,646,12,0
CUST_376,66,Female,29188,20,West,Single,2,Retired,841,5,0
CUST_377,48,Male,80588,59,North,Single,3,Employed,473,18,0
CUST_378,24,Male,106869,99,North,Widowed,2,Unemployed,712,19,0
CUST_379,27,Female,136638,87,North,Divorced,4,Employed,478,3,1
CUST_380,45,Male,145807,34,West,Divorced,1,Unemployed,759,3,0
CUST_381,37,Male,142638,74,North,Widowed,0,Employed,741,1,1
CUST_382,44,Male,102609,3,West,Widowed,4,Student,818,2,0
CUST_383,24,Female,114408,4,West,Single,2,Unemployed,694,13,0
CUST_384,65,Female,27074,41,South,Divorced,2,Student,681,19,0
CUST_385,24,Male,142883,93,North,Divorced,3,Retired,836,5,0
CUST_386,59,Female,142144,73,West,Married,1,Retired,364,15,1
CUST_387,48,Female,41410,21,North,Single,4,Student,444,3,0
CUST_388,44,Male,57996,35,West,Single,0,Unemployed,480,8,0
CUST_389,56,Male,47208,35,East,Widowed,1,Employed,670,16,0
CUST_390,45,Female,67216,57,North,Widowed,3,Unemployed,482,5,1
CUST_391,33,Male,34773,96,North,Married,1,Retired,635,6,0
CUST_392,34,Female,62556,82,West,Single,1,Employed,565,6,1
CUST_393,56,Male,77779,47,East,Married,1,Student,369,8,1
CUST_394,41,Female,143997,14,West,Divorced,2,Retired,639,6,0
CUST_395,38,Female,40389,17,North,Married,0,Retired,507,18,0
CUST_396,25,Female,64081,35,North,Divorced,1,Employed,734,9,1
CUST_397,49,Female,43118,27,North,Widowed,3,Employed,535,7,1
CUST_398,27,Male,33297,16,West,Divorced,1,Unemployed,363,6,1
CUST_399,46,Female,141586,83,North,Single,0,Employed,618,18,0
CUST_400,21,Female,74990,31,South,Divorced,3,Unemployed,478,18,1
CUST_401,65,Male,110824,5,East,Divorced,3,Retired,651,19,0
CUST_402,30,Female,30024,13,East,Widowed,4,Employed,338,10,0
CUST_403,25,Female,80990,64,South,Widowed,2,Unemployed,382,13,0
CUST_404,34,Female,50491,54,South,Married,3,Unemployed,434,3,0
